show_number,air_date,round,category,contestant_one_name,contestant_two_name,contestant_three_name,contestant_one_location,contestant_two_location,contestant_three_location
4680,2004-12-31,Final Jeopardy!,THE SOLAR SYSTEM,Michael Starsinic,Kerry Breitenbach,Maura Gatowski,Maryland,Ohio,Michigan
5957,2010-07-06,Final Jeopardy!,HISTORIC WOMEN,Will Walters,Ethan Waldman,Andrea Salt,Kentucky,California,Arizona
3751,2000-12-18,Final Jeopardy!,SPORTS LEGENDS,Ben Merritt,Vicky Kaufman,John Draz,Texas,Connecticut,Illinois
3673,2000-07-19,Final Jeopardy!,THE MAP OF EUROPE,Matt Landig,Lisa Stevens,Tad Carithers,California,New York,Georgia
4931,2006-02-06,Final Jeopardy!,FAMOUS SHIPS,Loren Loiacono,Andrew Kreitz,Sebastian Johnson,New York,California,Maryland
2825,1996-12-06,Final Jeopardy!,BRITISH NOVELS,Donna Craig,Clark Adams,Gay Mollette,New York,Virginia,Michigan
6037,2010-12-07,Final Jeopardy!,FLAGS OF THE WORLD,Jamie O'Hagin,Rich Zayatz,Josh Powell,New Hampshire,North Carolina,California
5243,2007-05-30,Final Jeopardy!,THE BRITISH THEATRE,Dianne Lindsay,Phil Cunneff,Mehrun Etebari,Louisiana,Maryland,New Hampshire
3036,1997-11-10,Final Jeopardy!,THE CONSTITUTION,James Sumner,Kathy Thompson,Sahir Islam,Mississippi,Maryland,New York
4107,2002-06-11,Final Jeopardy!,GEOGRAPHIC PHRASES,Rich Rosenlof,Lisa Winston,Jon Newlon,California,Maryland,Florida
2735,1996-06-21,Final Jeopardy!,AMERICAN HISTORY,Karl Coryat,Michael Dominguez,Mary Hirschfeld,California,California,Washington
4335,2003-06-06,Final Jeopardy!,CANDY,Karen Madigan,Chris Pyle,Jim Stalley,Wyoming,Kansas,Colorado
3834,2001-04-12,Final Jeopardy!,THEATRE,Janet Crum,Larry Cloud,Donna Rosen,Oregon,California,California
3619,2000-05-04,Final Jeopardy!,FILM CLASSICS,Jeff Horn,Jean Kosits,Dan Felsenheld,New York,New Jersey,Virginia
3534,2000-01-06,Final Jeopardy!,NONFICTION AUTHORS,Mike Monday,Jimmy Vollman,Marc Hirsh,Wisconsin,California,Indiana
4085,2002-05-10,Final Jeopardy!,KNOWLEDGE BY THE NUMBERS,Claudia Perry,Bob Verini,Chuck Forrest,New Jersey,California,United Kingdom
1279,1990-03-08,Final Jeopardy!,FAMOUS NAMES,Gretchen Pruett,Martin Gostanian,Elaine Zollner,New York,Massachusetts,California
1302,1990-04-10,Final Jeopardy!,CABLE TELEVISION,Joel Silverman,Kerry Noonan,Ed Borasky,Colorado,California,Oregon
4936,2006-02-13,Final Jeopardy!,THE 50 STATES,Sebastian Johnson,Camille Bullock,Matt Klein,Maryland,Louisiana,New York
3632,2000-05-23,Final Jeopardy!,ASIA,Jennifer Knierim,Mike Andrews,Jeff Horn,California,Michigan,New York
