Show Number, Air Date, Round, Category, Value, Question, Answer,contestant_names,contestant_locations
4680,2004-12-31,Final Jeopardy!,THE SOLAR SYSTEM,None,Objects that pass closer to the sun than Mercury have been named for this mythological figure,Icarus,"Michael Starsinic, Kerry Breitenbach, Maura Gatowski","Maryland, Ohio, Michigan"
5957,2010-07-06,Final Jeopardy!,HISTORIC WOMEN,None,"She was born in Virginia around 1596 & died in Kent, England in 1617",Pocahontas,"Will Walters, Ethan Waldman, Andrea Salt","Kentucky, California, Arizona"
3751,2000-12-18,Final Jeopardy!,SPORTS LEGENDS,None,"If Joe DiMaggio's hitting streak had gone one more game in 1941, this company would have given him a $10,000 contract",H.J. Heinz (Heinz 57 Varieties),"Ben Merritt, Vicky Kaufman, John Draz","Texas, Connecticut, Illinois"
3673,2000-07-19,Final Jeopardy!,THE MAP OF EUROPE,None,"Bordering Italy, Austria, Hungary & Croatia, it's one of the world's newest independent countries",Slovenia,"Matt Landig, Lisa Stevens, Tad Carithers","California, New York, Georgia"
4931,2006-02-06,Final Jeopardy!,FAMOUS SHIPS,None,"On December 27, 1831 it departed Plymouth, England to map the coastline of South America",the HMS Beagle,"Loren Loiacono, Andrew Kreitz, Sebastian Johnson","New York, California, Maryland"
5690,2009-05-08,Final Jeopardy!,EUROPEAN HISTORY,None,"He filed for divorce citing Leviticus 20:21, ""If a man shall take his brother's wife, it is an unclean thing""",Henry VIII,"Patrick Tucker, Ariella Goldstein, Andrew Ceppos","a senior from the University of Notre Dame, a junior from Muhlenberg College, a senior from Tufts University"
2825,1996-12-06,Final Jeopardy!,BRITISH NOVELS,None,"This 1895 novel is subtitled ""An Invention""",The Time Machine,"Donna Craig, Clark Adams, Gay Mollette","New York, Virginia, Michigan"
6037,2010-12-07,Final Jeopardy!,FLAGS OF THE WORLD,None,"In use from 1844 to 1905, a flag representing the union of these 2 countries was nicknamed the ""herring salad""",Norway and Sweden,"Jamie O'Hagin, Rich Zayatz, Josh Powell","New Hampshire, North Carolina, California"
5243,2007-05-30,Final Jeopardy!,THE BRITISH THEATRE,None,"Richard Attenborough, who was in the original 1952 cast of this play, helped celebrate its performance No. 20,000 in 2000",The Mousetrap,"Dianne Lindsay, Phil Cunneff, Mehrun Etebari","Louisiana, Maryland, New Hampshire"
3036,1997-11-10,Final Jeopardy!,THE CONSTITUTION,None,"Word completing the line ""Nor shall any person be subject for the same offense to be twice put in"" this",Jeopardy,"James Sumner, Kathy Thompson, Sahir Islam","Mississippi, Maryland, New York"
4107,2002-06-11,Final Jeopardy!,GEOGRAPHIC PHRASES,None,"This common term originated in the early 1500s with the book ""De Rebus Oceanicis et Novo Orbe""",the New World,"Rich Rosenlof, Lisa Winston, Jon Newlon","California, Maryland, Florida"
2735,1996-06-21,Final Jeopardy!,AMERICAN HISTORY,None,"On May 29, 1765 Patrick Henry's Stamp Act protest was interrupted with this one word",Treason!,"Karl Coryat, Michael Dominguez, Mary Hirschfeld","California, California, Washington"
5851,2010-02-08,Final Jeopardy!,RANKS & TITLES,None,"Owain Glyndwr, who died circa 1416, was the last native of his country to claim this title",Prince of Wales,"Samira Missaghi, Nick Yozamp, James Hill III","a junior from the University of Minnesota, a junior from Washington University in St. Louis, a freshman from Santa Clara University"
